Time	Acceleration - Dev3_ai0	Acceleration - Dev3_ai1	Acceleration - Dev3_ai2
2.240234E-2	2.427833E-3	1.334084E-3	2.459966E-3
2.300781E-2	3.941065E-3	7.362959E-3	6.233981E-5
2.361328E-2	5.179718E-3	7.680268E-3	3.289679E-3
2.421875E-2	3.904454E-3	1.157124E-3	1.197094E-3
2.482422E-2	4.911241E-3	5.337062E-3	4.698971E-3
2.542969E-2	6.357354E-3	1.023095E-2	6.449909E-3
2.603516E-2	2.812243E-3	2.371441E-3	-8.954905E-4
2.664063E-2	4.996666E-3	3.555249E-3	2.807713E-3
2.724609E-2	5.643450E-3	4.372930E-3	3.930266E-3
2.785156E-2	5.100395E-3	4.098336E-3	2.490470E-3
2.845703E-2	7.919399E-3	1.081675E-2	3.619124E-3
